科目,单位,Y1_2026,Y2_2027,Y3_2028,口径备注
出租净面积,万㎡,3.5,3.5,3.5,1#-3# 主出租 + 4#秀场拍摄按使用计费 + 5#配套自留
入驻率,%,35,70,92,年内加权
平均有效租金,元/㎡·天,6.0,7.0,7.8,扣除免租与装补摊销
物业费,元/㎡·月,28,28,28,
租金收入,万元,2684,6260,9168,= 净面积*入驻率*租金*365
物业费收入,万元,412,823,1082,
T台 + 拍摄 + 直播间收入,万元,1400,3800,6500,会员/场次/月费
服务平台佣金,万元,200,800,2000,GMV 5%-10%
童装亲子 / 集合店分成,万元,200,600,1200,
政策返还(净计入),万元,200,1200,3500,与一企一策协同
基金管理费,万元,0,800,1500,园区基金 1%-2% AUM
总收入,万元,5096,14283,24950,
物业运营成本,万元,1500,1800,2100,人力+能源+维保
招商佣金摊销,万元,400,600,800,5 年直线
装补摊销,万元,600,1200,1500,5 年直线
免租摊销,万元,800,600,300,
T台 + 拍摄 + 直播间运营,万元,800,1200,1500,
营销品牌(含时装秀),万元,1800,1500,1500,
政府关系/法务,万元,400,500,600,
团队人力,万元,700,1500,2200,5→14→22 人
财务费用,万元,700,600,500,
其他,万元,300,400,500,
总成本,万元,8000,9900,11500,
EBITDA,万元,-2904,4383,13450,
折旧摊销(资产),万元,2500,2500,2500,
EBIT,万元,-5404,1883,10950,
利息净额,万元,1200,1100,900,
税前利润,万元,-6604,783,10050,
经营性现金流,万元,-2500,5000,13000,
投资性现金流,万元,-2500,-1500,-800,
筹资性现金流,万元,-4500,-5500,-3000,
期末现金余额,万元,8000,6000,15200,期初 17500
入驻率敏感(-10%),Y3 EBITDA 变化(万元),,,−2800,
入驻率敏感(+8% 上限),Y3 EBITDA 变化(万元),,,1200,
租金敏感(-10%),Y3 EBITDA 变化(万元),,,−1800,
租金敏感(+10%),Y3 EBITDA 变化(万元),,,1800,
政策返还兑现率(-30%),Y3 EBITDA 变化(万元),,,−1050,
T台/拍摄/直播(-30%),Y3 EBITDA 变化(万元),,,−2000,
