property,subdistrict,plate,grade,quote_rent,deal_rent,property_fee,vacant_area_sqm,vacant_days,status
创智天地企业中心,五角场街道,大创智,甲级,5.92,5.58,23.0,2500,150,在租
创智天地企业中心,五角场街道,大创智,甲级,7.33,6.45,20.0,600,240,在租
INNO创智,五角场街道,大创智,科创园,3.86,3.46,22.0,600,60,在租
INNO创智,五角场街道,大创智,科创园,3.18,2.63,21.0,200,60,已成交
INNO创智,五角场街道,大创智,科创园,3.84,3.18,28.0,1000,150,在租
INNO创智,五角场街道,大创智,科创园,4.94,4.6,30.0,200,30,在租
INNO创智,五角场街道,大创智,科创园,4.07,3.48,24.0,2500,90,在租
INNO创智,五角场街道,大创智,科创园,3.91,3.69,22.0,2500,240,已成交
国正中心,五角场镇,大创智,甲级,7.33,6.84,32.0,600,240,在租
国正中心,五角场镇,大创智,甲级,5.81,5.34,34.0,1500,240,已成交
国正中心,五角场镇,大创智,甲级,6.7,5.92,34.0,200,90,在租
国正中心,五角场镇,大创智,甲级,5.98,5.34,19.0,200,150,已成交
国正中心,五角场镇,大创智,甲级,7.46,6.63,20.0,400,150,已成交
国正中心,五角场镇,大创智,甲级,5.83,5.18,25.0,1500,60,已成交
合生汇写字楼,五角场镇,五角场商圈,甲级,6.93,6.04,29.0,2500,150,已成交
合生汇写字楼,五角场镇,五角场商圈,甲级,6.4,5.45,24.0,200,240,在租
合生汇写字楼,五角场镇,五角场商圈,甲级,6.68,5.48,29.0,2500,60,在租
万达广场写字楼,五角场镇,五角场商圈,乙级,4.58,3.8,23.0,400,150,在租
万达广场写字楼,五角场镇,五角场商圈,乙级,3.41,3.21,28.0,1500,60,已成交
湾谷科技园,新江湾城街道,新江湾,科创园,3.38,2.81,24.0,1000,150,在租
湾谷科技园,新江湾城街道,新江湾,科创园,4.46,4.05,20.0,2500,150,已成交
湾谷科技园,新江湾城街道,新江湾,科创园,4.6,3.84,21.0,400,150,在租
湾谷科技园,新江湾城街道,新江湾,科创园,3.37,2.97,26.0,200,240,在租
湾谷科技园,新江湾城街道,新江湾,科创园,4.3,3.83,34.0,200,60,在租
尚浦中心,新江湾城街道,新江湾,甲级,6.46,6.02,21.0,200,30,已成交
尚浦中心,新江湾城街道,新江湾,甲级,6.03,5.56,23.0,1000,240,在租
尚浦中心,新江湾城街道,新江湾,甲级,6.47,5.47,34.0,400,240,已成交
尚浦中心,新江湾城街道,新江湾,甲级,5.62,4.84,28.0,200,240,已成交
尚浦中心,新江湾城街道,新江湾,甲级,6.56,5.43,19.0,1500,60,在租
互联宝地,平凉路街道,杨浦滨江,科创园,4.35,3.7,34.0,200,240,在租
互联宝地,平凉路街道,杨浦滨江,科创园,4.19,3.77,29.0,1000,240,在租
financial street 滨江,平凉路街道,杨浦滨江,甲级,5.91,5.4,23.0,400,60,在租
financial street 滨江,平凉路街道,杨浦滨江,甲级,6.1,5.25,18.0,200,240,已成交
financial street 滨江,平凉路街道,杨浦滨江,甲级,7.49,6.21,27.0,400,60,已成交
financial street 滨江,平凉路街道,杨浦滨江,甲级,7.26,6.78,23.0,600,150,已成交
长阳创谷,大桥街道,杨浦滨江,科创园,4.22,4.0,27.0,2500,240,在租
长阳创谷,大桥街道,杨浦滨江,科创园,4.33,4.08,22.0,400,30,已成交
长阳创谷,大桥街道,杨浦滨江,科创园,3.31,2.84,30.0,400,60,在租
长阳创谷,大桥街道,杨浦滨江,科创园,4.71,4.17,33.0,600,30,在租
城市概念园区,大桥街道,杨浦滨江,孵化器,3.74,3.09,31.0,600,90,在租
城市概念园区,大桥街道,杨浦滨江,孵化器,3.16,2.88,18.0,1500,30,已成交
城市概念园区,大桥街道,杨浦滨江,孵化器,3.54,2.97,32.0,200,240,在租
城市概念园区,大桥街道,杨浦滨江,孵化器,3.14,2.59,33.0,600,30,已成交
城市概念园区,大桥街道,杨浦滨江,孵化器,2.82,2.4,24.0,200,240,已成交
控江路商务楼,控江路街道,内环商务,乙级,4.76,4.37,33.0,400,60,已成交
控江路商务楼,控江路街道,内环商务,乙级,3.24,2.97,31.0,600,150,已成交
控江路商务楼,控江路街道,内环商务,乙级,4.58,4.24,21.0,600,30,在租
控江路商务楼,控江路街道,内环商务,乙级,3.26,2.87,32.0,400,150,在租
控江路商务楼,控江路街道,内环商务,乙级,4.51,4.21,18.0,400,60,在租
四平科技园,四平路街道,同济周边,科创园,4.73,4.47,24.0,600,240,在租
四平科技园,四平路街道,同济周边,科创园,4.96,4.41,20.0,200,90,在租
四平科技园,四平路街道,同济周边,科创园,4.93,4.21,28.0,200,90,已成交
四平科技园,四平路街道,同济周边,科创园,3.63,3.26,20.0,1500,240,在租
江浦路商务中心,江浦路街道,内环商务,乙级,4.33,3.55,30.0,1500,60,在租
江浦路商务中心,江浦路街道,内环商务,乙级,3.31,3.0,29.0,600,30,已成交
复旦软件园,五角场街道,国定路高校带,科创园,4.01,3.64,25.0,600,90,在租
复旦软件园,五角场街道,国定路高校带,科创园,3.38,3.06,30.0,1000,60,在租
复旦软件园,五角场街道,国定路高校带,科创园,3.6,3.21,23.0,200,60,在租
复旦软件园,五角场街道,国定路高校带,科创园,4.16,3.77,26.0,1000,60,在租
国定东路孵化基地,五角场街道,国定路高校带,孵化器,3.49,2.99,29.0,2500,90,在租
国定东路孵化基地,五角场街道,国定路高校带,孵化器,3.93,3.34,22.0,600,60,在租
国定东路孵化基地,五角场街道,国定路高校带,孵化器,2.57,2.44,32.0,1500,30,在租
殷行科创空间,殷行街道,外环,孵化器,2.79,2.54,25.0,1000,60,在租
殷行科创空间,殷行街道,外环,孵化器,2.51,2.3,31.0,200,60,在租
殷行科创空间,殷行街道,外环,孵化器,3.94,3.5,27.0,200,30,在租
殷行科创空间,殷行街道,外环,孵化器,3.7,3.36,28.0,1500,150,在租
殷行科创空间,殷行街道,外环,孵化器,3.58,3.17,26.0,1500,60,已成交
殷行科创空间,殷行街道,外环,孵化器,3.21,2.74,32.0,400,90,已成交
延吉商务楼,延吉新村街道,内环商务,乙级,3.98,3.39,19.0,1000,90,在租
延吉商务楼,延吉新村街道,内环商务,乙级,3.74,3.5,20.0,200,60,在租
延吉商务楼,延吉新村街道,内环商务,乙级,3.44,2.92,25.0,1000,240,在租
延吉商务楼,延吉新村街道,内环商务,乙级,3.3,3.06,33.0,1000,240,已成交
延吉商务楼,延吉新村街道,内环商务,乙级,3.23,3.02,24.0,1500,30,已成交
延吉商务楼,延吉新村街道,内环商务,乙级,3.68,3.2,27.0,1000,240,已成交
长白科创园,长白新村街道,内环商务,科创园,3.98,3.4,18.0,1000,90,在租
长白科创园,长白新村街道,内环商务,科创园,4.6,4.21,34.0,1000,240,在租
长白科创园,长白新村街道,内环商务,科创园,4.81,4.31,18.0,2500,150,在租
定海科创社区,定海路街道,滨江东延伸,孵化器,2.77,2.37,22.0,600,90,在租
定海科创社区,定海路街道,滨江东延伸,孵化器,3.82,3.27,22.0,1000,30,在租
定海科创社区,定海路街道,滨江东延伸,孵化器,3.62,2.99,22.0,600,30,已成交
定海科创社区,定海路街道,滨江东延伸,孵化器,3.48,3.19,21.0,400,30,在租
定海科创社区,定海路街道,滨江东延伸,孵化器,2.86,2.52,28.0,200,60,在租
