company_id,name,industry_tag,industry_lvl1,scale,area_sqm,plate,reg_capital_wan,status,signal
YP0133,杨浦示例企业0133,检验检测/科技服务,科学研究,大型,7772,大创智,500,存续,近6月融资+招聘扩张
YP0152,杨浦示例企业0152,专精特新制造服务,制造业,大型,7193,五角场商圈,100,存续,近6月融资+招聘扩张
YP0026,杨浦示例企业0026,在线新经济,信息技术,大型,7027,新江湾,100,存续,近6月融资+招聘扩张
YP0245,杨浦示例企业0245,科技金融,金融业,大型,6105,杨浦滨江,300,存续,工商稳定+岗位激增
YP0117,杨浦示例企业0117,AI/大模型,信息技术,大型,6072,大创智,3000,存续,工商稳定+岗位激增
YP0013,杨浦示例企业0013,AI/大模型,信息技术,大型,5883,国定路高校带,100,存续,近6月融资+招聘扩张
YP0100,杨浦示例企业0100,检验检测/科技服务,科学研究,大型,5874,大创智,100,存续,工商稳定+岗位激增
YP0101,杨浦示例企业0101,AI/大模型,信息技术,大型,5681,国定路高校带,500,存续,工商稳定+岗位激增
YP0270,杨浦示例企业0270,检验检测/科技服务,科学研究,大型,5210,内环商务,1000,存续,工商稳定+岗位激增
YP0272,杨浦示例企业0272,专精特新制造服务,制造业,大型,4892,大创智,1000,存续,新设研发中心
YP0204,杨浦示例企业0204,在线新经济,信息技术,大型,4427,新江湾,3000,存续,工商稳定+岗位激增
YP0292,杨浦示例企业0292,检验检测/科技服务,科学研究,大型,4327,新江湾,1000,存续,工商稳定+岗位激增
YP0110,杨浦示例企业0110,专精特新制造服务,制造业,大型,4042,杨浦滨江,500,存续,新设研发中心
YP0210,杨浦示例企业0210,在线新经济,信息技术,大型,3995,大创智,300,存续,新设研发中心
YP0180,杨浦示例企业0180,在线新经济,信息技术,大型,2891,新江湾,1000,存续,新设研发中心
YP0158,杨浦示例企业0158,检验检测/科技服务,科学研究,大型,2861,杨浦滨江,100,存续,工商稳定+岗位激增
YP0165,杨浦示例企业0165,AI/大模型,信息技术,大型,2838,五角场商圈,100,存续,新设研发中心
YP0166,杨浦示例企业0166,在线新经济,信息技术,大型,2330,国定路高校带,500,存续,工商稳定+岗位激增
YP0023,杨浦示例企业0023,专精特新制造服务,制造业,中型,1993,大创智,3000,存续,工商稳定+岗位激增
YP0127,杨浦示例企业0127,AI/大模型,信息技术,中型,1925,内环商务,1000,存续,近6月融资+招聘扩张
YP0086,杨浦示例企业0086,设计创意,文化创意,中型,1917,大创智,300,存续,近6月融资+招聘扩张
YP0260,杨浦示例企业0260,在线新经济,信息技术,中型,1889,五角场商圈,300,存续,工商稳定+岗位激增
YP0307,杨浦示例企业0307,专精特新制造服务,制造业,中型,1883,杨浦滨江,100,存续,新设研发中心
YP0312,杨浦示例企业0312,AI/大模型,信息技术,中型,1866,大创智,100,存续,工商稳定+岗位激增
YP0316,杨浦示例企业0316,设计创意,文化创意,中型,1760,内环商务,500,存续,工商稳定+岗位激增
YP0112,杨浦示例企业0112,专精特新制造服务,制造业,中型,1734,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0092,杨浦示例企业0092,设计创意,文化创意,中型,1630,国定路高校带,3000,存续,近6月融资+招聘扩张
YP0314,杨浦示例企业0314,科技金融,金融业,中型,1562,内环商务,300,存续,近6月融资+招聘扩张
YP0028,杨浦示例企业0028,设计创意,文化创意,中型,1554,大创智,1000,存续,新设研发中心
YP0244,杨浦示例企业0244,设计创意,文化创意,中型,1464,国定路高校带,100,存续,工商稳定+岗位激增
