科目,单位,Y1_2026,Y2_2027,Y3_2028,口径备注
地上可出租面积,㎡,8300,8300,8300,基于 PDF 实测 15152.75 ㎡ 扣除大堂/餐厅/公共
入驻率,%,35,70,92,年内加权
平均有效租金,元/㎡·天,5.8,6.8,7.5,扣除免租与装补摊销
物业费,元/㎡·月,28,28,28,
租金收入,万元,615,1442,2091,= 净面积*入驻率*租金*365
物业费收入,万元,97,195,257,
1F+2F 冠名权,万元,100,300,500,大堂/展厅/LED 屏
服务平台佣金,万元,80,250,600,GMV 5%-10%
后市场协同分成,万元,50,150,300,与冠松后市场联动
政策返还(净计入),万元,80,600,1500,与一企一策协同
基金管理费,万元,0,300,500,园区基金 1%-2% AUM
总收入,万元,1022,3237,5748,
物业运营成本,万元,600,750,850,人力+能源+维保
招商佣金摊销,万元,100,200,300,5 年直线
装补摊销,万元,200,350,450,5 年直线
免租摊销,万元,250,200,100,
营销品牌(含发布会),万元,800,600,600,
政府关系/法务,万元,200,250,300,
团队人力,万元,400,800,1100,4→10→14 人
测试场协同/路测协调,万元,80,120,150,嘉定/临港会员费 + 路测项目
财务费用,万元,350,320,280,
其他,万元,150,200,250,
总成本,万元,3130,3790,4380,
EBITDA,万元,-2108,-553,1368,
折旧摊销(资产),万元,1200,1200,1200,15152 ㎡ 直线
EBIT,万元,-3308,-1753,168,
利息净额,万元,600,580,520,
税前利润,万元,-3908,-2333,-352,
经营性现金流,万元,-1800,500,2500,
投资性现金流,万元,-1400,-600,-300,装修/IT/光伏扩容
筹资性现金流,万元,-500,-2200,-800,贷款/股东
期末现金余额,万元,4500,2200,3600,期初 8200
入驻率敏感(-10%),Y3 EBITDA 变化(万元),,,−480,
入驻率敏感(+8% 上限至 100%),Y3 EBITDA 变化(万元),,,220,
租金敏感(-10%),Y3 EBITDA 变化(万元),,,−210,
租金敏感(+10%),Y3 EBITDA 变化(万元),,,210,
政策返还兑现率(-30%),Y3 EBITDA 变化(万元),,,−450,
冠名/服务/后市场(-30%),Y3 EBITDA 变化(万元),,,−420,
