company_id,from_area,to_area,industry_tag,area_change,reason
MIG0000,张江,临港,设计创意,300,产业链协同
MIG0001,徐汇区,临港,设计创意,1500,产业链协同
MIG0002,静安区,张江,科技金融,-200,成本驱动
MIG0003,临港,徐汇区,专精特新制造服务,-500,扩张
MIG0004,张江,徐汇区,专精特新制造服务,800,产业链协同
MIG0005,黄浦区,临港,AI/大模型,-500,成本驱动
MIG0006,浦东新区,杨浦-滨江,检验检测/科技服务,-500,扩张
MIG0007,杨浦-滨江,张江,检验检测/科技服务,-200,产业链协同
MIG0008,杨浦-大创智,张江,AI/大模型,1500,成本驱动
MIG0009,张江,徐汇区,科技金融,300,成本驱动
MIG0010,杨浦-大创智,杨浦-新江湾,在线新经济,800,政策牵引
MIG0011,黄浦区,杨浦-大创智,检验检测/科技服务,-500,扩张
MIG0012,静安区,杨浦-新江湾,设计创意,-500,成本驱动
MIG0013,黄浦区,杨浦-滨江,在线新经济,-500,扩张
MIG0014,杨浦-新江湾,徐汇区,设计创意,300,成本驱动
MIG0015,浦东新区,徐汇区,科技金融,0,成本驱动
MIG0016,杨浦-大创智,杨浦-新江湾,AI/大模型,300,成本驱动
MIG0017,徐汇区,杨浦-滨江,专精特新制造服务,-500,成本驱动
MIG0018,黄浦区,张江,设计创意,-200,产业链协同
MIG0019,张江,临港,在线新经济,1500,产业链协同
MIG0020,杨浦-新江湾,徐汇区,设计创意,-500,扩张
MIG0021,杨浦-新江湾,杨浦-滨江,AI/大模型,0,政策牵引
MIG0022,黄浦区,杨浦-滨江,在线新经济,300,成本驱动
MIG0023,黄浦区,杨浦-滨江,在线新经济,300,政策牵引
MIG0024,黄浦区,临港,科技金融,0,扩张
MIG0025,静安区,杨浦-大创智,AI/大模型,-200,产业链协同
MIG0026,黄浦区,临港,科技金融,0,扩张
MIG0027,徐汇区,临港,设计创意,800,产业链协同
MIG0028,杨浦-新江湾,杨浦-滨江,专精特新制造服务,-200,政策牵引
MIG0029,浦东新区,临港,在线新经济,1500,产业链协同
MIG0031,临港,杨浦-滨江,专精特新制造服务,300,扩张
MIG0032,静安区,张江,AI/大模型,-500,成本驱动
MIG0033,黄浦区,临港,科技金融,-200,扩张
MIG0034,杨浦-大创智,张江,检验检测/科技服务,300,政策牵引
MIG0035,临港,杨浦-滨江,专精特新制造服务,-500,产业链协同
MIG0036,浦东新区,张江,检验检测/科技服务,1500,成本驱动
MIG0037,杨浦-大创智,杨浦-滨江,在线新经济,1500,成本驱动
MIG0038,静安区,杨浦-新江湾,设计创意,300,产业链协同
MIG0039,黄浦区,杨浦-大创智,在线新经济,0,政策牵引
MIG0041,徐汇区,杨浦-大创智,科技金融,-200,扩张
MIG0042,杨浦-滨江,徐汇区,专精特新制造服务,1500,产业链协同
MIG0043,黄浦区,杨浦-大创智,设计创意,0,政策牵引
MIG0044,黄浦区,杨浦-大创智,检验检测/科技服务,1500,成本驱动
MIG0045,张江,杨浦-大创智,专精特新制造服务,0,政策牵引
MIG0046,徐汇区,杨浦-大创智,AI/大模型,300,政策牵引
MIG0047,黄浦区,徐汇区,专精特新制造服务,1500,产业链协同
MIG0048,杨浦-滨江,杨浦-新江湾,AI/大模型,1500,扩张
MIG0049,静安区,张江,AI/大模型,300,成本驱动
MIG0050,杨浦-新江湾,张江,检验检测/科技服务,-500,成本驱动
MIG0051,静安区,杨浦-大创智,专精特新制造服务,-500,政策牵引
MIG0052,杨浦-新江湾,徐汇区,科技金融,300,扩张
MIG0054,临港,杨浦-大创智,检验检测/科技服务,800,成本驱动
MIG0055,杨浦-大创智,临港,AI/大模型,300,成本驱动
MIG0056,浦东新区,徐汇区,AI/大模型,300,扩张
MIG0058,杨浦-滨江,杨浦-新江湾,在线新经济,1500,产业链协同
MIG0059,临港,杨浦-滨江,科技金融,1500,扩张
MIG0060,张江,杨浦-滨江,科技金融,300,政策牵引
MIG0061,浦东新区,徐汇区,设计创意,-200,产业链协同
