company_id,name,industry_tag,industry_lvl1,scale,area_sqm,plate,reg_capital_wan,status,signal
YP0000,杨浦示例企业0000,科技金融,金融业,小型,224,内环商务,100,存续,—
YP0001,杨浦示例企业0001,AI/大模型,信息技术,微型,179,杨浦滨江,300,存续,近6月融资+招聘扩张
YP0002,杨浦示例企业0002,设计创意,文化创意,微型,191,杨浦滨江,1000,存续,近6月融资+招聘扩张
YP0003,杨浦示例企业0003,检验检测/科技服务,科学研究,微型,199,大创智,100,存续,—
YP0004,杨浦示例企业0004,设计创意,文化创意,微型,192,大创智,300,存续,工商稳定+岗位激增
YP0005,杨浦示例企业0005,在线新经济,信息技术,小型,486,新江湾,300,存续,近6月融资+招聘扩张
YP0006,杨浦示例企业0006,检验检测/科技服务,科学研究,小型,480,五角场商圈,100,存续,—
YP0007,杨浦示例企业0007,检验检测/科技服务,科学研究,小型,418,大创智,500,存续,新设研发中心
YP0008,杨浦示例企业0008,设计创意,文化创意,微型,96,杨浦滨江,300,存续,近6月融资+招聘扩张
YP0009,杨浦示例企业0009,科技金融,金融业,中型,1519,新江湾,500,存续,—
YP0010,杨浦示例企业0010,AI/大模型,信息技术,小型,587,大创智,500,存续,近6月融资+招聘扩张
YP0011,杨浦示例企业0011,设计创意,文化创意,大型,2635,杨浦滨江,3000,存续,—
YP0012,杨浦示例企业0012,科技金融,金融业,小型,454,杨浦滨江,3000,存续,—
YP0013,杨浦示例企业0013,AI/大模型,信息技术,大型,5883,国定路高校带,100,存续,近6月融资+招聘扩张
YP0014,杨浦示例企业0014,专精特新制造服务,制造业,小型,548,杨浦滨江,1000,存续,工商稳定+岗位激增
YP0015,杨浦示例企业0015,设计创意,文化创意,小型,436,国定路高校带,500,存续,近6月融资+招聘扩张
YP0016,杨浦示例企业0016,AI/大模型,信息技术,微型,123,新江湾,300,存续,—
YP0017,杨浦示例企业0017,设计创意,文化创意,中型,765,杨浦滨江,300,存续,新设研发中心
YP0018,杨浦示例企业0018,检验检测/科技服务,科学研究,微型,160,杨浦滨江,3000,存续,工商稳定+岗位激增
YP0019,杨浦示例企业0019,设计创意,文化创意,小型,394,内环商务,300,存续,近6月融资+招聘扩张
YP0020,杨浦示例企业0020,在线新经济,信息技术,小型,206,大创智,1000,存续,—
YP0021,杨浦示例企业0021,在线新经济,信息技术,微型,157,大创智,3000,存续,工商稳定+岗位激增
YP0022,杨浦示例企业0022,检验检测/科技服务,科学研究,微型,181,杨浦滨江,3000,存续,—
YP0023,杨浦示例企业0023,专精特新制造服务,制造业,中型,1993,大创智,3000,存续,工商稳定+岗位激增
YP0024,杨浦示例企业0024,设计创意,文化创意,小型,405,杨浦滨江,100,存续,近6月融资+招聘扩张
YP0025,杨浦示例企业0025,在线新经济,信息技术,微型,63,杨浦滨江,100,存续,近6月融资+招聘扩张
YP0026,杨浦示例企业0026,在线新经济,信息技术,大型,7027,新江湾,100,存续,近6月融资+招聘扩张
