楼宇编号,楼宇名称,详细地址,所属板块,物业类型,物业等级,报价租金(元/㎡/天),平均成交租金(元/㎡/天),物业费(元/㎡/月),楼宇总建筑面积(㎡),已租面积(㎡),出租率(%),入驻企业数,竣工时间,标准层层高(米)
YP001,创智天地企业中心,淞沪路290弄,五角场,写字楼,甲级,7.2,6.67,30,86000,16400,19.1,3,2010,4.2
YP002,创智天地广场,淞沪路303号,五角场,混合,甲级,7,6.7,30,99000,12200,12.3,2,2009,4
YP003,创智66商务楼,淞沪路258号,五角场,写字楼,甲级,6.5,6.5,30,82000,13800,16.8,2,2021,4.1
YP004,上海国际设计中心,昌邑路185号,五角场,写字楼,甲级,5.3,5.35,28,120000,6800,5.7,2,2018,4.5
YP005,五角场万达广场写字楼,淞沪路77号,五角场,写字楼,甲级,6,5.75,24,72000,10400,14.4,2,2008,3.9
YP006,五角场苏宁广场,淞沪路8号,五角场,混合,甲级,4.8,4.65,27,180000,11400,6.3,2,2018,4
YP007,合生汇国际广场,邯郸路585号,五角场,混合,甲级,5.6,5.4,26,110000,11000,10,2,2018,4
YP008,复旦科技园大厦,国权路579号,五角场,产业园,乙级,4.5,4.35,26,100000,9300,9.3,2,2017,4.2
YP009,同和国际大厦,国通路127号,五角场,写字楼,甲级,5,4.85,25,68000,7300,10.7,2,2012,3.9
YP010,天盛科创广场,政立路118号,五角场,写字楼,甲级,5.2,5.05,26,100000,8100,8.1,2,2016,4
YP011,财大科技园国华大厦,武川路111号,五角场,写字楼,甲级,5.4,5.15,25,68000,12000,17.6,2,2012,3.9
YP012,长海商务楼,国权北路省力,杨浦滨江,写字楼,超甲级,7.6,7.4,32,86000,14400,16.7,2,2022,4.5
YP013,杨浦滨江国际商务中心,杨树浦路2218号,杨浦滨江,混合,甲级,6.1,5.95,29,150000,11200,7.5,2,2020,4.2
YP014,滨江国际广场（东方渔人码头二期）,杨树浦路1062号,杨浦滨江,写字楼,超甲级,8.6,8.45,33,90000,12600,14,2,2017,4.4
YP015,杨浦滨江国际设计中心,安浦路,杨浦滨江,写字楼,超甲级,8.8,8.5,33,52000,6200,11.9,2,2019,4.5
YP016,平凉路滨江商务楼,平凉路1788号,平凉路,写字楼,乙级,3.9,3.75,23,70000,9600,13.7,2,2021,4
YP017,尚浦领世商务广场,昆明路567号,大连路,写字楼,超甲级,8.5,8.1,32,96000,14800,15.4,2,2015,4.3
YP018,大连路壹中心（海鸥科创大厦）,霍山路1188号,大连路,写字楼,甲级,6.8,6.55,28,82000,10000,12.2,2,2019,4.2
YP019,绿地汇创国际广场,大连路588号,大连路,写字楼,甲级,7,6.7,27,82000,10000,12.2,2,2013,4
YP020,互联宝地科技园,黄兴路221号,大连路,产业园,乙级,5,4.9,18,60000,14200,23.7,3,2014,4.2
YP021,尚浦中心,三门路258号,新江湾城,混合,甲级,5.8,5.75,28,200000,40000,20,2,2016,4.3
YP022,湾谷科技园,国权北路1688弄,新江湾城,产业园,乙级,2.7,2.77,20,220000,19200,8.7,3,2021,4.5
YP023,未来谷-湾谷创新中心,国权北路1688弄,新江湾城,产业园,乙级,3,2.95,20,85000,9400,11.1,2,2023,4.6
YP024,新江湾城科技中心,淞沪路2200号,新江湾城,产业园,乙级,4,3.85,22,100000,10200,10.2,2,2023,4.5
YP025,杨浦科技创业中心,国康路100号,新江湾城,产业园,丙级,3.4,3.25,21,60000,6700,11.2,2,2020,4.4
YP026,新江湾城瑞创大厦,殷行路1388号,新江湾城,写字楼,甲级,4.6,4.45,22,64000,11600,18.1,2,2020,4.2
YP027,长阳创谷,长阳路1687号,长阳路,产业园,乙级,5,4.9,18,120000,16400,13.7,3,2016,5
YP028,城市概念软件信息服务园,隆昌路619号,控江路,产业园,丙级,3.8,3.7,14,90000,4400,4.9,1,2009,4.8
YP029,互联网产业大楼,长阳路1568号,长阳路,产业园,乙级,4.4,4.25,16,55000,9000,16.4,2,2015,4.6
YP030,同济科技园,赤峰路63号,四平路,产业园,乙级,4.2,4.05,24,80000,11400,14.2,2,2011,4.1
YP031,上海财经大学国家大学科技园,纪念路8号,五角场,产业园,乙级,4,3.95,22,50000,6900,13.8,2,2013,4
YP032,上海理工大学国家大学科技园,军工路516号,军工路,产业园,乙级,3.6,3.45,18,75000,8900,11.9,2,2012,4.4
YP033,五角场高新技术产业园·赛特分园,南翔殷路58号,五角场,产业园,丙级,3.2,3.1,15,42000,5600,13.3,1,2010,4.5
YP034,四平科技公园·创新载体,抚顺路,四平路,产业园,丙级,3.4,3.3,15,36000,3800,10.6,1,2014,4.3
YP035,上海婚纱艺术产业园,军工路1436号,军工路,产业园,其它,2.8,2.7,12,60000,8200,13.7,1,2008,5.2
YP036,上海信息技术大厦,隆昌路619号,江浦路,写字楼,乙级,2.7,2.75,23,50000,8200,16.4,2,2019,3.9
YP037,中谊大厦,宁国路374号,江浦路,写字楼,乙级,3.8,3.7,25,80000,6200,7.8,1,2017,3.9
YP038,江浦路金融服务中心,江浦路489号,江浦路,写字楼,乙级,4,3.9,24,70000,7400,10.6,1,2022,4
YP039,控江路商务大厦,控江路1500号,控江路,写字楼,丙级,3.1,3,21,60000,5200,8.7,1,2018,3.8
YP040,隆昌路智造园,隆昌路1号,控江路,产业园,其它,2.9,2.8,12,28000,5600,20,1,2008,5.2
YP041,四平路商务中心,四平路1188号,四平路,写字楼,乙级,4.2,4.05,26,90000,8600,9.6,2,2019,4
