plate,industry_tag,企业数
五角场商圈,AI/大模型,7
五角场商圈,专精特新制造服务,5
五角场商圈,在线新经济,10
五角场商圈,检验检测/科技服务,9
五角场商圈,科技金融,6
五角场商圈,设计创意,8
内环商务,AI/大模型,7
内环商务,专精特新制造服务,6
内环商务,在线新经济,6
内环商务,检验检测/科技服务,7
内环商务,科技金融,9
内环商务,设计创意,3
国定路高校带,AI/大模型,7
国定路高校带,专精特新制造服务,7
国定路高校带,在线新经济,7
国定路高校带,检验检测/科技服务,3
国定路高校带,科技金融,1
国定路高校带,设计创意,5
大创智,AI/大模型,24
大创智,专精特新制造服务,13
大创智,在线新经济,14
大创智,检验检测/科技服务,12
大创智,科技金融,8
大创智,设计创意,16
新江湾,AI/大模型,5
新江湾,专精特新制造服务,5
新江湾,在线新经济,14
新江湾,检验检测/科技服务,8
新江湾,科技金融,14
新江湾,设计创意,8
杨浦滨江,AI/大模型,8
杨浦滨江,专精特新制造服务,14
杨浦滨江,在线新经济,14
杨浦滨江,检验检测/科技服务,8
杨浦滨江,科技金融,8
杨浦滨江,设计创意,14
