编号,企业名称,简称,产业链层级,现注册地,拟搬入面积_㎡,决策人姓名,决策人职务,融资轮次,主要客户,来源渠道,漏斗阶段,健康度,销售负责人,上次接触日期,下一步动作,备注
GS-ECO-0001,商汤科技绝影,商汤绝影,L4-算法,上海徐汇,1500,X总,智驾事业群总裁,上市,上汽/广汽,自拓,意向,A,张三,2026-04-25,户外测试区踏勘,在徐汇有现办公到期2026-12
GS-ECO-0002,Momenta(初速度),Momenta,L5-方案,北京/苏州,8000,曹旭东,CEO,E轮,通用/上汽/比亚迪,链主推荐,谈判,A,项目总监,2026-04-29,Term Sheet 草案,见提案#5
GS-ECO-0003,地平线机器人,地平线,L3-芯片,北京,6000,余凯,CEO,上市筹备,理想/比亚迪/上汽,自拓,谈判,A,项目总监,2026-04-30,联合实验室共建协议,见提案#4
GS-ECO-0004,黑芝麻智能,黑芝麻,L3-芯片,上海/武汉,2000,单记章,CEO,上市,东风/吉利,戴德梁行,意向,B,李四,2026-04-22,2轮报价比对,与张江纠结
GS-ECO-0005,寒武纪行歌,行歌,L3-芯片,上海,1500,王平,CEO,A轮,长安/上汽,仲量联行,意向,B,李四,2026-04-21,组织5名工程师试用工位,
GS-ECO-0006,德赛西威,德赛,L3-Tier1,惠州/上海,1800,徐建,智驾BU负责人,上市,造车新势力多家,自拓,触达,B,王五,2026-04-18,上海办负责人面谈,
GS-ECO-0007,经纬恒润,经纬恒润,L3-Tier1,北京/上海,1200,乔卫国,智驾产品线总监,上市,长城/吉利,世邦魏理仕,触达,B,王五,2026-04-19,样板间参观,
GS-ECO-0008,禾赛科技,禾赛,L2-激光雷达,上海嘉定,1200,李一帆,CEO,上市,造车新势力多家,链主推荐,意向,B,赵六,2026-04-26,工程中心需求确认,嘉定总部不动,新增上海中心
GS-ECO-0009,速腾聚创,速腾,L2-激光雷达,深圳/上海,1000,邱纯潮,COO,上市,造车新势力多家,戴德梁行,意向,B,赵六,2026-04-22,中心城区办公需求,
GS-ECO-0010,图达通,图达通,L2-激光雷达,苏州/上海,800,鲍君威,CEO,Pre-IPO,蔚来,本地精品行,触达,C,张三,2026-04-15,产品路演空间需求,
GS-ECO-0011,豪威集团,OmniVision,L2-CIS,上海,1500,虞仁荣,创始人,上市,行业广,自拓,触达,C,孙七,2026-04-12,集团副总裁拜访,
GS-ECO-0012,韦尔股份,韦尔,L2-CIS,上海,1200,虞仁荣,董事长,上市,行业广,自拓,触达,C,孙七,2026-04-12,与豪威协同,
GS-ECO-0013,四维图新,四维图新,L2-高精地图,北京/上海,1000,程鹏,CEO,上市,行业广,仲量联行,意向,B,周八,2026-04-23,合规沙盒诉求,
GS-ECO-0014,腾讯地图(易图通),腾讯位置,L2-高精地图,北京/上海,800,潘晖,总经理,大企业,腾讯系,自拓,触达,C,周八,2026-04-10,集团BD拜访,
GS-ECO-0015,百度地图,百度地图,L2-高精地图,北京,800,李莹,总经理,大企业,百度系,自拓,触达,C,周八,2026-04-09,等百度Apollo签约联动,
GS-ECO-0016,鉴智机器人,鉴智,L4-算法,上海,1000,单羿,CEO,B轮,造车新势力,高力国际,谈判,A,张三,2026-04-28,合同条款议定,大概率签
GS-ECO-0017,轻舟智航,轻舟,L4-算法,北京/苏州,1500,于骞,CEO,C轮,T1-Tier1,世邦魏理仕,意向,B,李四,2026-04-22,城市NOA演示,
GS-ECO-0018,文远知行,文远,L4-算法,广州/上海,1500,韩旭,CEO,上市筹备,出行,自拓,触达,C,王五,2026-04-08,上海负责人对接,
GS-ECO-0019,小马智行,小马,L4-算法,北京/广州,1500,彭军,CEO,上市筹备,出行,自拓,触达,C,王五,2026-04-08,Robotruck团队优先,
GS-ECO-0020,元戎启行,元戎,L4-算法,深圳,1200,周光,CEO,C轮,长城/Smart,链主推荐,意向,B,赵六,2026-04-21,上海研发飞地,
GS-ECO-0021,智行者,智行者,L4-算法,北京,800,张德兆,CEO,C轮,环卫/特种车,本地精品行,触达,C,孙七,2026-04-05,展示场地需求,
GS-ECO-0022,主线科技,主线,L4-Robotruck,北京,1000,张天雷,CEO,B轮,港口/物流,本地精品行,触达,C,孙七,2026-04-05,户外测试区诉求高,
GS-ECO-0023,赢彻科技,赢彻,L4-Robotruck,上海,1000,马喆人,CEO,C轮,物流,自拓,意向,B,周八,2026-04-26,户外测试区联合方案,
GS-ECO-0024,纵目科技,纵目,L4-泊车,上海,1000,唐锐,CEO,Pre-IPO,造车新势力,戴德梁行,意向,B,周八,2026-04-22,泊车场景测试区,
GS-ECO-0025,知行科技,知行,L3-Tier1,苏州,1000,宋阳,CEO,上市,吉利/奇瑞,仲量联行,触达,C,张三,2026-04-15,上海BD前哨,
GS-ECO-0026,51Sim,51Sim,仿真,北京/上海,500,李月,CEO,B轮,行业广,自拓,意向,A,李四,2026-04-29,共享实验室共建,
