楼宇编号,楼宇名称,详细地址,所属板块,物业类型,物业等级,报价租金(元/㎡/天),物业费(元/㎡/月),楼宇总建筑面积(㎡),竣工时间,标准层层高(米),出租率(%),入驻企业名称,入驻企业所属行业,入驻楼层,租赁面积(㎡),成交租金(元/㎡/天),免租期(月),企业经营状态,剩余租期(月)
YP001,创智天地企业中心,淞沪路290弄,五角场,写字楼,甲级,7.2,30,86000,2010,4.2,19.1,哔哩哔哩科技有限公司,互联网/文娱,8-15F,12000,6.9,4,正常经营,36
YP001,创智天地企业中心,淞沪路290弄,五角场,写字楼,甲级,7.2,30,86000,2010,4.2,19.1,英语流利说,在线教育,6F,2600,6.5,3,正常经营,14
YP001,创智天地企业中心,淞沪路290弄,五角场,写字楼,甲级,7.2,30,86000,2010,4.2,19.1,智充科技,新能源,5F,1800,6.6,3,新签约,48
YP002,创智天地广场,淞沪路303号,五角场,混合,甲级,7,30,99000,2009,4,12.3,抖音集团（上海）,互联网/文娱,12-18F,9800,6.8,4,正常经营,40
YP002,创智天地广场,淞沪路303号,五角场,混合,甲级,7,30,99000,2009,4,12.3,声网 Agora,云通信,9F,2400,6.6,3,正常经营,22
YP003,创智66商务楼,淞沪路258号,五角场,写字楼,甲级,6.5,30,82000,2021,4.1,16.8,字节跳动上海研发中心,互联网,10-16F,11000,6.4,4,正常经营,44
YP003,创智66商务楼,淞沪路258号,五角场,写字楼,甲级,6.5,30,82000,2021,4.1,16.8,德勤华东区审计团队,专业服务,8F,2800,6.6,3,正常经营,30
YP004,上海国际设计中心,昌邑路185号,五角场,写字楼,甲级,5.3,28,120000,2018,4.5,5.7,安藤忠雄建筑研究所,建筑设计,8-11F,4200,5.6,4,正常经营,41
YP004,上海国际设计中心,昌邑路185号,五角场,写字楼,甲级,5.3,28,120000,2018,4.5,5.7,洛可可创新设计,工业设计,6F,2600,5.1,3,正常经营,18
YP005,五角场万达广场写字楼,淞沪路77号,五角场,写字楼,甲级,6,24,72000,2008,3.9,14.4,美团点评（杨浦分部）,互联网/本地生活,18-22F,8800,5.9,3,正常经营,22
YP005,五角场万达广场写字楼,淞沪路77号,五角场,写字楼,甲级,6,24,72000,2008,3.9,14.4,安克创新,智能硬件,12F,1600,5.6,3,筹备装修,45
YP006,五角场苏宁广场,淞沪路8号,五角场,混合,甲级,4.8,27,180000,2018,4,6.3,苏宁易购华东区,电商,20-26F,9200,4.7,3,正常经营,28
YP006,五角场苏宁广场,淞沪路8号,五角场,混合,甲级,4.8,27,180000,2018,4,6.3,元气森林（华东）,快消品,15F,2200,4.6,3,正常经营,16
YP007,合生汇国际广场,邯郸路585号,五角场,混合,甲级,5.6,26,110000,2018,4,10,叠纸网络,游戏,20-25F,9600,5.5,4,正常经营,40
YP007,合生汇国际广场,邯郸路585号,五角场,混合,甲级,5.6,26,110000,2018,4,10,小红书 MCN 工作室,互联网/文娱,10F,1400,5.3,2,新签约,24
YP008,复旦科技园大厦,国权路579号,五角场,产业园,乙级,4.5,26,100000,2017,4.2,9.3,复旦孵化·脑科学研究院,生物医药,5-9F,7200,4.4,5,正常经营,33
