楼宇编号,楼宇名称,所属板块,物业类型,物业等级,报价租金(元/㎡/天),平均成交租金(元/㎡/天),物业费(元/㎡/月),楼宇总建筑面积(㎡),已租面积(㎡),出租率(%),入驻企业数,竣工时间,标准层层高(米)
YP001,创智天地企业中心,五角场,写字楼,甲级,7.2,6.67,28,86000,16400,19.1,3,2010,4.2
YP002,五角场万达广场写字楼,五角场,写字楼,甲级,6.8,6.4,24,72000,12800,17.8,3,2008,3.9
YP003,合生汇国际广场,五角场,混合,甲级,6.5,6.1,26,110000,13200,12,3,2018,4
YP004,湾谷科技园 A 座,新江湾城,产业园,乙级,4.6,4.3,16,54000,12000,22.2,2,2016,4.5
YP005,湾谷科技园 C 座,新江湾城,产业园,乙级,4.5,4.4,16,48000,9300,19.4,2,2017,4.5
YP006,尚浦领世商务广场,大连路,写字楼,超甲级,8.5,8.1,32,96000,17600,18.3,3,2015,4.3
YP007,绿地汇创国际广场,大连路,写字楼,甲级,7,6.7,27,82000,10000,12.2,2,2013,4
YP008,互联宝地科技园,大连路,产业园,乙级,5.2,5,18,60000,14200,23.7,3,2014,4.2
YP009,长阳创谷 1 号楼,长阳路,产业园,乙级,5,4.85,18,45000,7800,17.3,2,2016,5
YP010,财大科技园国华大厦,五角场,写字楼,甲级,6.6,6.3,25,68000,12000,17.6,2,2012,3.9
YP011,杨浦滨江国际设计中心,杨浦滨江,写字楼,超甲级,8.8,8.5,33,52000,6000,11.5,2,2019,4.5
YP012,东方渔人码头商务楼,杨浦滨江,混合,甲级,7.4,7.05,29,74000,9400,12.7,2,2017,4.1
YP013,城市概念创意园,长阳路,产业园,丙级,3.8,3.7,12,32000,4400,13.8,1,2009,4.8
YP014,大柏树智慧广场,中环,写字楼,乙级,5.4,5.15,20,58000,9600,16.6,2,2011,3.8
YP015,新江湾城瑞创大厦,新江湾城,写字楼,甲级,6,5.75,22,64000,11600,18.1,2,2020,4.2
YP016,控江路科创大楼,控江路,产业园,乙级,4.4,4.25,15,40000,6900,17.3,2,2013,4.3
YP017,四平路科技金融大厦,四平路,写字楼,乙级,5.6,5.35,21,50000,8600,17.2,2,2012,3.9
YP018,杨浦科技创业中心,五角场,产业园,乙级,4.8,4.65,17,44000,6700,15.2,2,2010,4.4
YP019,江湾国际青年公寓,新江湾城,租赁住宅,甲级,5.5,5.3,0,38000,32000,84.2,1,2021,3
YP020,滨江湾谷人才公寓,杨浦滨江,租赁住宅,乙级,4.8,4.6,0,29000,24000,82.8,1,2022,3
YP021,财富中心广场,五角场,写字楼,甲级,6.9,6.6,26,70000,9400,13.4,2,2014,4
YP022,隆昌路智造园,控江路,产业园,丙级,3.6,3.5,11,28000,5600,20,1,2008,5.2
YP023,中环创智园,中环,混合,乙级,5,4.85,19,56000,8600,15.4,2,2015,4.1
YP024,大连路 369 广场,大连路,写字楼,超甲级,8.2,8,31,90000,16000,17.8,3,2016,4.4
YP025,新江湾智汇坊,新江湾城,产业园,乙级,4.7,4.55,16,42000,9400,22.4,2,2019,4.6
YP026,黄兴路总部基地,四平路,写字楼,甲级,6.2,5.95,23,62000,10600,17.1,2,2013,4
