name,asset_type,district,subdistrict,plate,grade,address,total_gfa_wan,rentable_area_wan,metro_distance_m,operator,vacancy_rate,vacant_area_wan
创智天地企业中心,office,杨浦区,五角场街道,大创智,甲级,上海市杨浦区五角场街道（示例）,12.6,7.0,500,品牌开发商,0.19593479869055888,1.37
INNO创智,park,杨浦区,五角场街道,大创智,科创园,上海市杨浦区五角场街道（示例）,6.3,4.4,900,国资平台,0.11748706650329901,0.52
国正中心,office,杨浦区,五角场镇,大创智,甲级,上海市杨浦区五角场镇（示例）,11.9,6.6,200,品牌开发商,0.2035533977499378,1.34
合生汇写字楼,office,杨浦区,五角场镇,五角场商圈,甲级,上海市杨浦区五角场镇（示例）,6.5,4.4,900,品牌开发商,0.18168472411769812,0.8
万达广场写字楼,office,杨浦区,五角场镇,五角场商圈,乙级,上海市杨浦区五角场镇（示例）,13.7,9.5,700,品牌开发商,0.15716397922771774,1.49
湾谷科技园,park,杨浦区,新江湾城街道,新江湾,科创园,上海市杨浦区新江湾城街道（示例）,9.7,5.9,200,品牌开发商,0.1800661899973208,1.06
尚浦中心,office,杨浦区,新江湾城街道,新江湾,甲级,上海市杨浦区新江湾城街道（示例）,13.5,8.3,350,品牌开发商,0.17608495250187217,1.46
互联宝地,park,杨浦区,平凉路街道,杨浦滨江,科创园,上海市杨浦区平凉路街道（示例）,17.4,10.7,200,外资基金,0.1647920882244668,1.76
financial street 滨江,office,杨浦区,平凉路街道,杨浦滨江,甲级,上海市杨浦区平凉路街道（示例）,4.5,3.2,900,专业运营商,0.2534732860474389,0.81
长阳创谷,park,杨浦区,大桥街道,杨浦滨江,科创园,上海市杨浦区大桥街道（示例）,15.1,10.5,900,国资平台,0.15073719887163967,1.58
城市概念园区,park,杨浦区,大桥街道,杨浦滨江,孵化器,上海市杨浦区大桥街道（示例）,17.6,11.0,900,专业运营商,0.11702125293944965,1.29
控江路商务楼,office,杨浦区,控江路街道,内环商务,乙级,上海市杨浦区控江路街道（示例）,15.4,10.4,500,品牌开发商,0.19276084124344722,2.0
四平科技园,park,杨浦区,四平路街道,同济周边,科创园,上海市杨浦区四平路街道（示例）,13.6,7.6,350,专业运营商,0.1806730511466495,1.37
江浦路商务中心,office,杨浦区,江浦路街道,内环商务,乙级,上海市杨浦区江浦路街道（示例）,17.8,12.8,200,外资基金,0.16172927021223363,2.07
复旦软件园,park,杨浦区,五角场街道,国定路高校带,科创园,上海市杨浦区五角场街道（示例）,7.2,4.9,500,品牌开发商,0.15054357096644813,0.74
国定东路孵化基地,park,杨浦区,五角场街道,国定路高校带,孵化器,上海市杨浦区五角场街道（示例）,8.6,5.1,500,国资平台,0.17501057998085623,0.89
殷行科创空间,park,杨浦区,殷行街道,外环,孵化器,上海市杨浦区殷行街道（示例）,12.1,7.1,350,品牌开发商,0.11398782417540951,0.81
延吉商务楼,office,杨浦区,延吉新村街道,内环商务,乙级,上海市杨浦区延吉新村街道（示例）,9.9,6.0,900,品牌开发商,0.22677055644618682,1.36
长白科创园,park,杨浦区,长白新村街道,内环商务,科创园,上海市杨浦区长白新村街道（示例）,13.3,9.6,200,品牌开发商,0.16224888762320716,1.56
定海科创社区,park,杨浦区,定海路街道,滨江东延伸,孵化器,上海市杨浦区定海路街道（示例）,15.3,10.9,700,专业运营商,0.12908838534754977,1.41
