楼宇编号,楼宇名称,所属板块,物业类型,物业等级,报价租金(元/㎡/天),物业费(元/㎡/月),楼宇总建筑面积(㎡),竣工时间,标准层层高(米),出租率(%),入驻企业名称,入驻企业所属行业,入驻楼层,租赁面积(㎡),成交租金(元/㎡/天),免租期(月),企业经营状态,剩余租期(月)
YP001,创智天地企业中心,五角场,写字楼,甲级,7.2,28,86000,2010,4.2,19.1,哔哩哔哩科技有限公司,互联网/文娱,8-15F,12000,6.9,4,正常经营,36
YP001,创智天地企业中心,五角场,写字楼,甲级,7.2,28,86000,2010,4.2,19.1,英语流利说,在线教育,6F,2600,6.5,3,正常经营,14
YP001,创智天地企业中心,五角场,写字楼,甲级,7.2,28,86000,2010,4.2,19.1,智充科技,新能源,5F,1800,6.6,3,新签约,48
YP002,五角场万达广场写字楼,五角场,写字楼,甲级,6.8,24,72000,2008,3.9,17.8,美团点评（杨浦分部）,互联网/本地生活,18-22F,8800,6.4,3,正常经营,22
YP002,五角场万达广场写字楼,五角场,写字楼,甲级,6.8,24,72000,2008,3.9,17.8,德勤咨询,专业服务,16F,2400,6.6,2,正常经营,30
YP002,五角场万达广场写字楼,五角场,写字楼,甲级,6.8,24,72000,2008,3.9,17.8,安克创新,智能硬件,12F,1600,6.2,3,筹备装修,45
YP003,合生汇国际广场,五角场,混合,甲级,6.5,26,110000,2018,4,12,叠纸网络,游戏,20-25F,9600,6.3,4,正常经营,40
YP003,合生汇国际广场,五角场,混合,甲级,6.5,26,110000,2018,4,12,元气森林（华东）,快消品,14F,2200,6.1,3,正常经营,18
YP003,合生汇国际广场,五角场,混合,甲级,6.5,26,110000,2018,4,12,小红书 MCN 工作室,互联网/文娱,10F,1400,5.9,2,新签约,24
YP004,湾谷科技园 A 座,新江湾城,产业园,乙级,4.6,16,54000,2016,4.5,22.2,联影医疗研发中心,医疗器械,3-6F,8800,4.4,5,正常经营,50
YP004,湾谷科技园 A 座,新江湾城,产业园,乙级,4.6,16,54000,2016,4.5,22.2,诺禾致源,生物科技,2F,3200,4.2,4,正常经营,28
YP005,湾谷科技园 C 座,新江湾城,产业园,乙级,4.5,16,48000,2017,4.5,19.4,商汤科技实验室,人工智能,4-7F,7200,4.5,4,正常经营,33
YP005,湾谷科技园 C 座,新江湾城,产业园,乙级,4.5,16,48000,2017,4.5,19.4,思谋科技,人工智能,3F,2100,4.3,3,新签约,42
YP006,尚浦领世商务广场,大连路,写字楼,超甲级,8.5,32,96000,2015,4.3,18.3,汇丰银行（上海分行）,金融,28-35F,11200,8.2,4,正常经营,55
YP006,尚浦领世商务广场,大连路,写字楼,超甲级,8.5,32,96000,2015,4.3,18.3,欧莱雅中国数字中心,快消品,22F,3600,8,3,正常经营,26
YP006,尚浦领世商务广场,大连路,写字楼,超甲级,8.5,32,96000,2015,4.3,18.3,普华永道,专业服务,18F,2800,8.1,3,正常经营,38
YP007,绿地汇创国际广场,大连路,写字楼,甲级,7,27,82000,2013,4,12.2,西门子（中国）数字化工厂,智能制造,15-20F,7600,6.8,3,正常经营,29
YP007,绿地汇创国际广场,大连路,写字楼,甲级,7,27,82000,2013,4,12.2,太平洋保险科技,金融,12F,2400,6.6,3,欠租预警,9
YP008,互联宝地科技园,大连路,产业园,乙级,5.2,18,60000,2014,4.2,23.7,阿里巴巴本地生活（上海）,互联网/本地生活,6-9F,9200,5,4,正常经营,31
YP008,互联宝地科技园,大连路,产业园,乙级,5.2,18,60000,2014,4.2,23.7,字节跳动（飞书华东）,互联网,5F,3400,5.1,3,正常经营,20
YP008,互联宝地科技园,大连路,产业园,乙级,5.2,18,60000,2014,4.2,23.7,声网 Agora,云通信,4F,1600,4.9,2,新签约,36
YP009,长阳创谷 1 号楼,长阳路,产业园,乙级,5,18,45000,2016,5,17.3,启迪之星孵化器,创业服务,1-3F,5200,4.8,5,正常经营,24
YP009,长阳创谷 1 号楼,长阳路,产业园,乙级,5,18,45000,2016,5,17.3,优刻得 UCloud,云计算,4F,2600,4.9,4,正常经营,33
YP010,财大科技园国华大厦,五角场,写字楼,甲级,6.6,25,68000,2012,3.9,17.6,国华人寿保险,金融,10-18F,9800,6.4,3,正常经营,44
YP010,财大科技园国华大厦,五角场,写字楼,甲级,6.6,25,68000,2012,3.9,17.6,同盾科技,金融科技,8F,2200,6.2,3,正常经营,16
