编号,企业/品牌名称,简称,产业链层级,现注册地,拟搬入面积_㎡,决策人姓名,决策人职务,商业类型,主要客户/合作,来源渠道,漏斗阶段,健康度,销售负责人,上次接触日期,下一步动作,备注
SM-ECO-0001,江南布衣,JNBY,L5-设计师品牌,杭州,2500,李琳,创始人,品牌总部,女装/家居,自拓,意向,A,项目总监,2026-04-25,T台秀场参访,
SM-ECO-0002,之禾时装,ICICLE,L5-设计师品牌,上海,2400,叶寿增,创始人,品牌总部,高端时装,自拓,意向,A,项目总监,2026-04-22,9F屋顶花园展示,
SM-ECO-0003,安踏儿童,FILA Kids,L5-童装品牌,厦门,1800,林翔华,儿童事业群总裁,品牌总部,童装,自拓,触达,B,BD总监,2026-04-19,园区参访,
SM-ECO-0004,Carter's 中国,Carter's,L5-童装品牌,上海,1500,中国GM,GM,品牌总部,童装,戴德梁行,触达,B,BD总监,2026-04-18,跨境合规对接,外资品牌
SM-ECO-0005,GAP Kids 中国,GAP Kids,L5-童装品牌,上海,1500,中国GM,GM,品牌总部,童装,戴德梁行,触达,B,BD总监,2026-04-18,跨境合规对接,外资品牌
SM-ECO-0006,SHEIN 设计中心,SHEIN,L6-跨境+L4-设计,广州/南京,4500,中国设计 VP,设计 VP,品牌总部+设计,跨境时尚,自拓,意向,A,项目总监,2026-04-29,设计 VP 30 分钟会面,
SM-ECO-0007,MO&Co.,MO&Co,L5-设计师品牌,广州,2000,创始人,创始人,品牌总部,设计师女装,仲量联行,触达,B,BD总监,2026-04-15,集团副总裁拜访,
SM-ECO-0008,Edition,Edition,L5-设计师集合,广州,1500,创始人,创始人,品牌总部,设计师集合,自拓,触达,C,BD经理,2026-04-12,样板间参观,
SM-ECO-0009,UR,UR,L5-快时尚,广州,2000,创始人,创始人,品牌总部,快时尚,自拓,触达,C,BD经理,2026-04-12,集团 BD 拜访,
SM-ECO-0010,DAZZLE,DAZZLE,L5-设计师品牌,上海,1200,创始人,创始人,品牌总部,女装,本地精品行,触达,C,BD经理,2026-04-10,样板间参观,
SM-ECO-0011,茉小竹,茉小竹工作室,L4-独立设计师,上海,200,创始人,创始人,设计师工作室,女装,KOL推荐,意向,A,BD经理,2026-04-29,定金签订,
SM-ECO-0012,SHUSHU/TONG,SHUSHU/TONG,L4-独立设计师,上海,300,创始人,创始人,设计师工作室,女装,KOL推荐,意向,A,BD经理,2026-04-26,合同条款议定,
SM-ECO-0013,Pronounce,Pronounce,L4-独立设计师,上海,250,创始人,创始人,设计师工作室,男装,KOL推荐,触达,B,BD经理,2026-04-22,工作室探访,
SM-ECO-0014,Caroline Hu,Caroline Hu,L4-独立设计师,上海,200,创始人,创始人,设计师工作室,女装,设计师协会,触达,B,BD经理,2026-04-20,趋势/面料对接,
SM-ECO-0015,YIRANTIAN,YIRANTIAN,L4-独立设计师,北京,200,创始人,创始人,设计师工作室,女装,设计师协会,触达,C,BD经理,2026-04-15,飞地考察,
SM-ECO-0016,SHIATZY CHEN,SHIATZY CHEN,L5-设计师品牌,中国台湾/上海,1000,中国区负责人,中国区负责人,品牌中国总部,女装,自拓,触达,C,BD经理,2026-04-10,展厅冠名提案,
SM-ECO-0017,ANNAKIKI,ANNAKIKI,L4-设计师,意大利/上海,200,创始人,创始人,工作室,女装,本地精品行,触达,C,BD经理,2026-04-08,工位制起步,
SM-ECO-0018,WGSN,WGSN,L4-趋势平台,上海,400,中国区负责人,中国区负责人,趋势研究,设计/采购,自拓,意向,B,项目总监,2026-04-25,2F趋势平台共建,
SM-ECO-0019,POP 时尚趋势,POP,L4-趋势平台,上海,300,中国区负责人,中国区负责人,趋势研究,设计/采购,自拓,触达,B,项目总监,2026-04-15,趋势/面料对接,
SM-ECO-0020,千匠星云,千匠星云,L1-数字基础设施,杭州,250,创始人,创始人,SaaS服务,服装ERP/PLM,自拓,触达,B,BD经理,2026-04-12,数字中台合作,
SM-ECO-0021,小红书时尚,小红书,L6-渠道,上海,500,时尚负责人,VP,品牌运营,内容种草,自拓,意向,A,BD总监,2026-04-29,园区KOL驻点,
SM-ECO-0022,抖音电商时尚,抖音电商,L6-直播,上海,800,时尚类目负责人,VP,品牌运营,直播电商,自拓,意向,B,项目总监,2026-04-26,80个直播间生态,
SM-ECO-0023,视频号小店,视频号,L6-直播,上海,500,时尚类目负责人,VP,品牌运营,直播电商,自拓,触达,B,项目总监,2026-04-19,腾讯系合作,
SM-ECO-0024,快手电商,快手,L6-直播,北京,400,时尚类目负责人,VP,品牌运营,直播电商,自拓,触达,C,BD经理,2026-04-12,飞地办公,
SM-ECO-0025,辛选集团,辛选,L6-MCN,广州,1500,辛巴,创始人,直播总部,网红直播,KOL推荐,触达,C,BD总监,2026-04-15,海外业务延伸,
SM-ECO-0026,谦寻,谦寻,L6-MCN,杭州,1000,薇娅,创始人,MCN总部,直播,KOL推荐,触达,C,BD总监,2026-04-15,转型运营,
SM-ECO-0027,无忧传媒,无忧传媒,L6-MCN,北京,800,创始人,创始人,MCN总部,直播,自拓,触达,C,BD经理,2026-04-12,飞地办公,
SM-ECO-0028,遥望网络,遥望,L6-MCN,杭州,1500,创始人,创始人,MCN总部,直播,自拓,触达,C,BD经理,2026-04-12,飞地办公,
SM-ECO-0029,TEMU,TEMU,L6-跨境,上海,500,中国负责人,VP,品牌运营,跨境电商,自拓,意向,B,BD总监,2026-04-25,园区跨境运营生态,
SM-ECO-0030,TikTok Shop,TikTok Shop,L6-跨境,上海/新加坡,800,中国负责人,VP,品牌运营,跨境电商,自拓,意向,B,BD总监,2026-04-25,园区跨境运营生态,
SM-ECO-0031,Shopee 中国,Shopee,L6-跨境,深圳,500,中国负责人,GM,品牌运营,跨境电商,戴德梁行,触达,C,BD经理,2026-04-12,跨境合规对接,
SM-ECO-0032,Shopify 中国,Shopify,L6-跨境,北京/上海,300,中国负责人,GM,品牌运营,跨境电商,戴德梁行,触达,C,BD经理,2026-04-12,跨境合规对接,
SM-ECO-0033,杭州地表 (柔性快反),地表柔性,L3-供应链,杭州,300,创始人,创始人,快反生产,跨境电商客户,自拓,触达,B,BD经理,2026-04-15,供应链对接,
SM-ECO-0034,广州十三行 (跨境),十三行,L3-供应链,广州,500,行业代表,代表,供应链对接,跨境,自拓,触达,C,BD经理,2026-04-10,供应链对接,
SM-ECO-0035,海宁皮革城,海宁皮革,L3-供应链,海宁,300,行业代表,代表,供应链对接,皮革/箱包,自拓,触达,C,BD经理,2026-04-10,供应链对接,
SM-ECO-0036,柯桥纺织 (轻纺城),柯桥纺织,L3-供应链,绍兴柯桥,300,行业代表,代表,供应链对接,纺织,自拓,触达,C,BD经理,2026-04-10,供应链对接,
SM-ECO-0037,海澜面料,海澜面料,L2-面料,无锡,200,创始人,创始人,面料供应,服装,自拓,触达,C,BD经理,2026-04-08,面料图书馆共建,
SM-ECO-0038,鲁泰纺织,鲁泰纺织,L2-面料,淄博,200,创始人,创始人,面料供应,衬衫面料,自拓,触达,C,BD经理,2026-04-08,面料图书馆共建,
SM-ECO-0039,华茂股份,华茂股份,L2-面料,安庆,200,创始人,创始人,面料供应,服装,自拓,触达,C,BD经理,2026-04-08,面料图书馆共建,
SM-ECO-0040,环保再生面料 (Renewcell),Renewcell,L2-面料,瑞典/上海,200,中国负责人,GM,环保再生,服装,自拓,触达,C,BD经理,2026-04-08,环保再生材料合作,
SM-ECO-0041,中国服装协会,中国服装协会,服务,北京/上海,200,会长,会长,行业协会,服装,自拓,意向,A,BD总监,2026-04-29,2F协会驻点,
SM-ECO-0042,中国服装设计师协会,中国设协,服务,北京/上海,200,会长,会长,行业协会,设计师,自拓,意向,A,BD总监,2026-04-29,2F协会驻点,
SM-ECO-0043,东华大学服装学院,东华大学,教育,上海松江,300,院长,院长,教育合作,设计师培养,自拓,触达,B,BD经理,2026-04-15,产学研合作,
SM-ECO-0044,北京服装学院,北服,教育,北京,200,院长,院长,教育合作,设计师培养,自拓,触达,C,BD经理,2026-04-12,飞地办公,
SM-ECO-0045,中国美院,中国美院,教育,杭州,200,院长,院长,教育合作,设计师培养,自拓,触达,C,BD经理,2026-04-12,飞地办公,
SM-ECO-0046,君合律所 时尚业务组,君合时尚,服务,上海,200,智时尚业务合伙人,合伙人,法律服务,跨境/合规,自拓,触达,B,BD经理,2026-04-15,2F驻点,
SM-ECO-0047,方达律所 时尚业务组,方达时尚,服务,上海,200,合伙人,合伙人,法律服务,跨境/合规,自拓,触达,C,BD经理,2026-04-12,2F驻点,
SM-ECO-0048,毕马威 时尚咨询,KPMG,服务,上海,200,合伙人,合伙人,审计/咨询,品牌财务,自拓,触达,C,BD经理,2026-04-10,产业研究合作,
SM-ECO-0049,普华永道 时尚咨询,PwC,服务,上海,200,合伙人,合伙人,审计/咨询,品牌财务,自拓,触达,C,BD经理,2026-04-10,产业研究合作,
SM-ECO-0050,启明创投 时尚消费,启明,投资,上海,200,合伙人,合伙人,投资,设计师品牌,自拓,触达,B,BD经理,2026-04-15,LP/GP双模式,
SM-ECO-0051-0300,…(后续企业按层级与配比录入；本表保留 300 行模板，启动后由销售按周维护),,,,,,,,,,,,,,,,
